Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00062829 s 	 Throughput = 106.8123 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00063446 s 	 Throughput = 105.7725 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00068294 s 	 Throughput = 98.2641 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00105066 s 	 Throughput = 63.8733 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00067197 s 	 Throughput = 99.8691 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00073059 s 	 Throughput = 91.8555 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00343760 s 	 Throughput = 19.5220 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00107283 s 	 Throughput = 125.1060 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00546352 s 	 Throughput = 24.5662 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00114717 s 	 Throughput = 116.9992 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00115462 s 	 Throughput = 116.2437 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00123722 s 	 Throughput = 108.4837 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00186957 s 	 Throughput = 71.7908 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00127309 s 	 Throughput = 105.4269 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00134563 s 	 Throughput = 99.7433 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00857050 s 	 Throughput = 15.6604 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00209834 s 	 Throughput = 127.9278 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.01101750 s 	 Throughput = 24.3645 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00216678 s 	 Throughput = 123.8866 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00217894 s 	 Throughput = 123.1952 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00237277 s 	 Throughput = 113.1318 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00350275 s 	 Throughput = 76.6356 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00241834 s 	 Throughput = 111.0001 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00255709 s 	 Throughput = 104.9770 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.02063997 s 	 Throughput = 13.0056 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00413267 s 	 Throughput = 129.9089 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02236243 s 	 Throughput = 24.0077 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00418067 s 	 Throughput = 128.4174 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00420682 s 	 Throughput = 127.6193 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00466394 s 	 Throughput = 115.1111 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00672685 s 	 Throughput = 79.8102 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00469117 s 	 Throughput = 114.4429 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00489885 s 	 Throughput = 109.5913 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03371008 s 	 Throughput = 15.9261 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00818474 s 	 Throughput = 131.1883 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.04675635 s 	 Throughput = 22.9646 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00817626 s 	 Throughput = 131.3244 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00822112 s 	 Throughput = 130.6077 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00917056 s 	 Throughput = 117.0857 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.01310602 s 	 Throughput = 81.9274 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00915632 s 	 Throughput = 117.2678 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00958608 s 	 Throughput = 112.0105 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.06731770 s 	 Throughput = 15.9504 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01630902 s 	 Throughput = 131.6746 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.09949414 s 	 Throughput = 21.5840 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01609408 s 	 Throughput = 133.4331 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01616701 s 	 Throughput = 132.8312 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01814566 s 	 Throughput = 118.3469 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.02613194 s 	 Throughput = 82.1785 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01811174 s 	 Throughput = 118.5686 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01882307 s 	 Throughput = 114.0878 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.13535376 s 	 Throughput = 15.8657 GB/s
