3682:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00031394 s 	 Throughput = 106.8820 GB/s
3715:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00035091 s 	 Throughput = 95.6206 GB/s
3748:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00048938 s 	 Throughput = 68.5656 GB/s
3781:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00029743 s 	 Throughput = 112.8153 GB/s
3814:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00037080 s 	 Throughput = 90.4932 GB/s
3847:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00112502 s 	 Throughput = 29.8257 GB/s
3880:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00034847 s 	 Throughput = 192.5804 GB/s
3913:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00133668 s 	 Throughput = 50.2055 GB/s
3946:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00042887 s 	 Throughput = 156.4780 GB/s
3979:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00043834 s 	 Throughput = 153.0981 GB/s
4012:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00048813 s 	 Throughput = 137.4813 GB/s
4045:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00077194 s 	 Throughput = 86.9352 GB/s
4078:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00042126 s 	 Throughput = 159.3055 GB/s
4111:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00044284 s 	 Throughput = 151.5410 GB/s
4144:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00167312 s 	 Throughput = 40.1101 GB/s
4177:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00063963 s 	 Throughput = 209.8372 GB/s
4210:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00244234 s 	 Throughput = 54.9546 GB/s
4243:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00069905 s 	 Throughput = 192.0013 GB/s
4276:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00071612 s 	 Throughput = 187.4248 GB/s
4309:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00078465 s 	 Throughput = 171.0549 GB/s
4342:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00138582 s 	 Throughput = 96.8509 GB/s
4375:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00069026 s 	 Throughput = 194.4443 GB/s
4408:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00070704 s 	 Throughput = 189.8318 GB/s
4441:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00391619 s 	 Throughput = 34.2726 GB/s
4474:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00140952 s 	 Throughput = 190.4449 GB/s
4507:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00482941 s 	 Throughput = 55.5835 GB/s
4540:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00132354 s 	 Throughput = 202.8170 GB/s
4573:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00134223 s 	 Throughput = 199.9924 GB/s
4606:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00142127 s 	 Throughput = 188.8701 GB/s
4639:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00241458 s 	 Throughput = 111.1726 GB/s
4672:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00132671 s 	 Throughput = 202.3317 GB/s
4705:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00126842 s 	 Throughput = 211.6301 GB/s
4738:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00836937 s 	 Throughput = 32.0736 GB/s
4771:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00238962 s 	 Throughput = 224.6676 GB/s
4804:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01044043 s 	 Throughput = 51.4223 GB/s
4837:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00238071 s 	 Throughput = 225.5090 GB/s
4870:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00238910 s 	 Throughput = 224.7172 GB/s
4903:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00253169 s 	 Throughput = 212.0601 GB/s
4936:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00463702 s 	 Throughput = 115.7792 GB/s
4969:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00241464 s 	 Throughput = 222.3399 GB/s
5002:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00239218 s 	 Throughput = 224.4273 GB/s
5035:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02707528 s 	 Throughput = 19.8288 GB/s
5068:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00477226 s 	 Throughput = 224.9964 GB/s
5101:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.02351795 s 	 Throughput = 45.6563 GB/s
5134:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00464542 s 	 Throughput = 231.1398 GB/s
5167:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00456444 s 	 Throughput = 235.2406 GB/s
5200:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00483072 s 	 Throughput = 222.2736 GB/s
5233:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00896502 s 	 Throughput = 119.7701 GB/s
5266:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00461247 s 	 Throughput = 232.7911 GB/s
5299:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00463957 s 	 Throughput = 231.4311 GB/s
5332:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.05425539 s 	 Throughput = 19.7905 GB/s
5365:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.00946787 s 	 Throughput = 226.8181 GB/s
5398:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.05773437 s 	 Throughput = 37.1959 GB/s
5431:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.00924882 s 	 Throughput = 232.1901 GB/s
5464:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.00916409 s 	 Throughput = 234.3368 GB/s
5497:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.00956985 s 	 Throughput = 224.4010 GB/s
5530:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01780268 s 	 Throughput = 120.6270 GB/s
5563:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.00917192 s 	 Throughput = 234.1368 GB/s
5596:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.00917125 s 	 Throughput = 234.1539 GB/s
