Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00254333 s 	 Throughput = 105.5450 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.02062128 s 	 Throughput = 13.0174 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00412477 s 	 Throughput = 130.1578 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02262893 s 	 Throughput = 23.7250 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00419302 s 	 Throughput = 128.0391 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00419040 s 	 Throughput = 128.1193 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00467014 s 	 Throughput = 114.9581 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00670118 s 	 Throughput = 80.1158 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00469987 s 	 Throughput = 114.2310 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00489126 s 	 Throughput = 109.7612 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03370672 s 	 Throughput = 15.9277 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00819027 s 	 Throughput = 131.0997 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.04666394 s 	 Throughput = 23.0101 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00818694 s 	 Throughput = 131.1529 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00822160 s 	 Throughput = 130.6001 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00916077 s 	 Throughput = 117.2109 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.01309683 s 	 Throughput = 81.9849 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00917686 s 	 Throughput = 117.0053 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00957830 s 	 Throughput = 112.1015 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.06732166 s 	 Throughput = 15.9494 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01629651 s 	 Throughput = 131.7757 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.10000208 s 	 Throughput = 21.4744 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01608147 s 	 Throughput = 133.5378 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01618013 s 	 Throughput = 132.7235 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01814506 s 	 Throughput = 118.3509 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.02612941 s 	 Throughput = 82.1865 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01809456 s 	 Throughput = 118.6812 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.01880736 s 	 Throughput = 114.1832 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.13545277 s 	 Throughput = 15.8541 GB/s
