Alg = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00049137 s 	 Throughput = 136.5758 GB/s
Alg = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00067677 s 	 Throughput = 198.3210 GB/s
Alg = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00124399 s 	 Throughput = 215.7853 GB/s
Alg = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00236522 s 	 Throughput = 226.9856 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 1024   Size = 8192     Time = 0.00056321 s     Throughput = 0.0145 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 2048   Size = 16384    Time = 0.00052327 s     Throughput = 0.0313 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 4096   Size = 32768    Time = 0.00064236 s     Throughput = 0.0510 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 8192   Size = 65536    Time = 0.00064669 s     Throughput = 0.1013 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 16384      Size = 131072   Time = 0.00057480 s     Throughput = 0.2280 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 32768      Size = 262144   Time = 0.00061472 s     Throughput = 0.4264 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 65536      Size = 524288   Time = 0.00062989 s     Throughput = 0.8324 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 131072     Size = 1048576      Time = 0.00061510 s     Throughput = 1.7047 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 262144     Size = 2097152      Time = 0.00064714 s     Throughput = 3.2406 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 524288     Size = 4194304      Time = 0.00055227 s     Throughput = 7.5946 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 1048576    Size = 8388608      Time = 0.00048590 s     Throughput = 17.2640 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 2097152    Size = 16777216     Time = 0.00067403 s     Throughput = 24.8910 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 4194304    Size = 33554432     Time = 0.00042095 s     Throughput = 79.7104 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 8388608    Size = 67108864     Time = 0.00054875 s     Throughput = 122.2949 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 16777216   Size = 134217728    Time = 0.00082678 s     Throughput = 162.3377 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 33554432   Size = 268435456    Time = 0.00133801 s     Throughput = 200.6234 GB/s
Alg = 3      NbFPE = 8   Range = 1   NbElements = 67108864   Size = 536870912    Time = 0.00234926 s     Throughput = 228.5274 GB/s
